title,genres,year
Bubblin'  Anita Demo ,Base|Classic|Film,1997
In Style,Love|Classic|War,1979
T Ball and Indian Guides  LP Version ,Classic,1998
Summer Summer,Classic|Solo|Rap-Comb,2009
La Rue Du Babouin,Love|Classic|Romance|HeavyMetal,1997
Our Lady Of Fatima,Classic|HeavyMetal|Western,1997
Ithaki,Love|Folk,1997
Banda Yango,Love|Jazz|HeavyMetal|War,2001
Delilah,Classic,1975
Reprise: TAo mi delirio   Guajira   Si te contara   El manisero,Folk,1997
Guilty Partner,Classic|Romance,1989
Te Miattad VA!ltozott Meg Az Aletem,Classic,1997
Song For Love,Classic,1997
La Rosa  Live ,Folk|Romance,1997
SyvA ? meri  Oceano ,Love|Classic,1997
Let's Call Him  Andre,Base|Solo|Rap-Comb,1997
I Got A Seecret,Solo|Rap-Comb,1998
I Constantly Thank God For Esteban [Live In Chicago],Solo|Rap-Comb,1997
Pai Keros,Classic,1997
Nachts um halb drei,Classic|Rap-Comb,1997
Iron Man,Classic,1997
French Suite: A Paris Thing,Classic,1997
You Must Do Your Best Tonight   I Represent Animal Crackers,Art|Rock|HeavyMetal,1997
I'm Not A Loser,Base|Classic,1982
Turn Up The Bass,Love|Jazz|Romance,1997
De Paris Un Caballero,Hate|Folk|Rock|Rap-Comb,1997
Killing Me Softly With His Song,Folk|Classic,1997
Afro Profondo,Classic,1997
Girl You Need My Love,Folk,1997
You Had Me From Hello  Lullaby Rendition of Kenny Chesney ,Folk|Classic|War,1997
Oh Scat Mix Up,Classic,2006
Collecting Dust,Classic|Bass|Romance,2008
The Modern World,Folk|Solo,1977
Lihava enkeli,Classic|Romance|War,1997
Roller Derby,Classic|HeavyMetal,1997
Nothing's Clear  Album Version ,Base|HeavyMetal,1997
Are You Ever Gonna Love Me?,Solo,1997
So deep,Bass,2000
Love Theme  The Falling In Love ,Folk|Classic,1997
Walk Away From Love,Love|Folk|Romance,1997
I Found You,Classic|Film,1963
Strange Things,Folk|Base,2004
Calm Da Seas,Folk|Classic,2008
Afraid Of Change  Tribal Vocal Mix ,Love|Folk|HeavyMetal,2003
Ran Kan Kan,Love|Jazz|Folk|Base|Bass,1997
Grow Up_ Grow Old,Folk|Classic|Rock|Romance,1997
Dholna Dholna,Classic,1997
Rainbow Country  Red Gold And Green Version ,Documentary,2001
Screamin' & Hollerin' The Blues,Classic|Musical,1997
De Tha Mai Edo,Love|HeavyMetal,1997
Vitamina,Folk|Classic|Romance,1999
A Goodnight's Sleep,Folk,2002
Mui Mal_ Animal,Love|Base,1997
Yesterdays,Folk|Classic,1997
Drunk Driving Tip,Folk|Classic|Romance,1997
Am I That Easy To Forget,Classic|Romance,1959
Cup Horn,Folk,2006
Que Vuelvas,Classic,1998
Concertino for Bass Trombone and Trombone Choir,Folk|Romance,1997
Rachel's retribution,Classic|War,2006
I'm In The Mood For Love,Classic,1997
Little Brother,Classic|HeavyMetal,2006
Ol' Frank,Jazz|Base|Classic,1997
Blackwords Masking,Jazz|Hate|Folk|Musical|Romance,1997
Clavelitos,Love|Jazz|Classic|Rap-Comb|HeavyMetal,1997
Tomorrows Girls  Live ,Folk|Classic|Romance,1999
Abbeville Fair,Folk,1973
Be Aware,Classic,1997
The Chance,Folk|Classic,2004
Polly,Jazz|Rock|IMAX,1997
O Dikos Sou DJ,Love|Base|Solo|Bass|HeavyMetal,1997
The Gift,Love|Folk|Base|Classic,1985
Playboy,Love|Rap-Comb|HeavyMetal,1983
Things i say,Art|Hate|Folk,1997
Santa Barbara,Folk|Rock|HeavyMetal,1997
Groovitation  Album Version ,Documentary,1997
Jugglin' Clown,Folk,1997
Wishlist,Classic,1998
El Vino Triste,Classic,1991
Day Or Night [Live Album Version],Folk,1997
Halloween,Folk,1982
Liquid Time  composition by John Goodsall ,Folk|Romance,1997
On Efface,Folk|Romance,2004
Shovel,Folk|Base,2005
Nuovi Re pt  I I  feat  Tek money   Lady Tambler ,Folk|Classic,1997
Zip A Dee Doo Dah  Song of the South ,Folk|Romance,1997
You Eclipsed By Me  Album Version ,Classic|Solo,2004
Howells Delight,Base|Classic|Film,1997
Parto em terras distantes,Classic|Romance,1998
Martha Served,Folk,2007
Misery Path  From the Privilege of Evil ,Art|Folk|Classic|Rock|Rap-Comb,1997
Je Sais Que La Terre Est Plate,Folk|Rap-Comb,2008
Vargbrodern Talar,Love|Classic|Romance|War,2007
Classic   LP Version ,Rap-Comb,1997
Sweet Lady,Jazz|Romance,1997
Unlearn,Classic,1997
Sleuthing,Base|Classic|HeavyMetal,2002
Forever,Classic,1997
Namibia,Classic|Romance,1997
Meet Me in the City,Classic|War,1997
Uncle B S    1963,Classic,1999
Lookin' For Me Somewhere,Classic,1986
No More Doggin',Folk|Documentary|Classic,1995
Cry For Love,Base|Classic|Film|Romance,1997
From Afar  Album Version ,Love|Jazz|Classic|Romance|HeavyMetal|Western,1998
Get Happy,Classic|Rock|Solo,1997
WohA ?r dr Wind wA ?iht,Classic|War,1997
Putt Jhatt Da Gulabi Phull Varga,Hate|Folk|Musical,1997
Raise Your Hands,Base|Classic|Film,1986
I'll Wait for You Dear,Classic|Rock,1997
I Love Your Way,Love|Classic|War,1997
Champagne & Reefer,Classic,2005
Rainbow Dance,Base|Classic,1997
I Need a Veggie,Love|Solo|Rap-Comb,1997
Volumatic Spacer Device,Love|HeavyMetal,2003
The Dance Of Europe,Classic|Musical|Romance,2001
Blood Round Dance Song  World ,Bass|HeavyMetal,1982
Spoonie Is Back,Base|Classic|Solo,1997
What Drives The Weak,Folk,2004
Life Force,Folk,1997
Crawling  Album Version ,Classic,2000
Bennie,Classic|Solo,1997
Shouther to Shouther  Shoulder to Shoulder ,Jazz|Hate|Folk,1997
Suicide,Folk,2007
Red Sky,Folk|Classic|Romance,2005
Symphony No  7 in A Major_ Op  92: I  Poco sostenuto   Vivace,Classic|Romance,1997
Prem,Love|Folk|Base,1997
She's My Mary,Classic,1997
Tell Me What I Want to Hear,Classic|Romance,1997
Above The Rainbow,Jazz|Hate|Classic,1994
The Little White Cloud That Cried,Classic|Musical,1997
Strike While the Iron is Hot,Folk|Musical,1997
Livin' In a Strain,Folk|Classic,1997
Amor que terminA3,Art|Hate|Folk|Musical,1997
Caribou Lou,Folk|Classic,2006
Cha Cha Cha,Documentary,1997
Aya Benzer 2003  Moonlight ,Love|Folk|Solo|Rap-Comb,1997
Save My Soul  Cypher UK Radio Edit ,Jazz|Folk|Rock|Musical,2004
My Life Is Totally Boring Without You,Documentary|Classic,1998
Calliope,Documentary|War,1983
Do You See The Light  Deep Ethno Mix ,Documentary,1996
Dipset  Santana's Town   Skit ,Classic|Bass|Romance|HeavyMetal,2003
Gavel Obliterated,Jazz|Classic|Rap-Comb,1997
Cuantas Madres Llorando,Love|Base|Classic|HeavyMetal,1997
So Different Blues,Folk|Base,1993
Buenos Aires  De Tus Amores ,Base|Classic|Film|HeavyMetal,2002
PA c pA tes,Folk|Classic,1997
Opening,Love|Folk,1997
Fire in the Hole,Love|Folk,1997
Lived My Life,Jazz|Classic,1997
Michelle  LP Version ,Folk,1997
Porque Nos Queremos,Folk|Rock,1987
Since The Last Time,Folk,2006
Obvious   LP Version  ,Folk|Romance,1990
Epaule tattoo  Live 1989 ,Classic,1997
Grustnaja,Folk|Classic|Rock|Bass,1997
Frei zu sein,Documentary,2008
WeA've Only Just Begun,Folk|Romance,1997
Christmas All The Time  Acoustic ,Solo|Rap-Comb,1997
Grown & Sexy,Folk,1997
Role Model,Love|Jazz|Folk|Rap-Comb,1997
Virtuosite Musette,Love|Jazz|Rap-Comb|IMAX,1997
Tuesday Afternoon,Classic|Romance,1968
Rant Kanaria,Love|Jazz|Classic|War,2009
Healing Power,Folk,1994
Disco Trafiko,Folk|Romance,1997
Forever You Reign  Album ,Love|Jazz|Rap-Comb|HeavyMetal,1997
Tema Da DesilusAPSo  Garota De Ipanema ,Base|Classic,1967
As We Lay,Classic,1997
The Anthem,Base|Classic,2002
No Pienses Asi,Love|Base|HeavyMetal,1973
Amor a Medias,Love|Base|Rock,2005
Cavalleria Rusticana,Classic|Romance,2000
Washington Post  1998 Digital Remaster ,Base|Solo|Bass|HeavyMetal,1997
Cavaleiro De Aruanda,Love|Rap-Comb,1997
Forever,Jazz|Classic,1997
TELL ME WHY,Folk|Classic,1997
Czwarty,Folk|Classic|Rap-Comb|War,1997
Manies Manigances,Folk,1995
Wings Of Love,Folk,1997
Hillbillies From Outerspace,Folk|Romance,1990
When We Dance,Jazz|Hate|Rock|Musical,2005
Betrayal Is A Symptom,Classic|Musical,2002
Catch Me,Classic,1997
Simple Twist Of Fate,Folk,1975
Dream Baby Dream,Classic|War,2010
My Mind's Eye,Classic,1966
Vanhapoika Severi,Love|Classic|War,1990
Fallin in Love Again,Folk|Classic|Musical|Romance,1997
We Put It Down For Y'all  Explicit LP Version ,Jazz|Rock|Rap-Comb,2000
Novakane Groove,Folk,1997
Spaniolandia,Documentary,1997
Ai Shi   ,Classic,1997
Facemelt,Documentary,1997
Io Che Non Vivo Senza Te,Base|Film|HeavyMetal,1997
I'm Happy She Said,Base|Bass|HeavyMetal,2001
Dai Wo Li Kai,Classic|HeavyMetal,1997
Here_ Swing_ Sing,Base|Bass|HeavyMetal,2005
Delirio,Bass,1997
All Night Long  Instumental ,Base|Bass,1998
If I Ain't Got You,HeavyMetal,2003
Crimson Wave,Love|Jazz|Rock|Rap-Comb,2001
Ballade Des Oiseaux De Croix,Classic|Bass|HeavyMetal,1996
What's Wrong,Folk|Classic|Romance,1997
Outside The Law,Love|Jazz|Classic|War,1997
Ninja Tattoo,Folk|Musical,2006
Common Ground,Love|Base|Classic|HeavyMetal,1997
The Dryad_ Op  45_ No  1,Folk|Romance,1997
Hold Me While I Cry,Romance|Rap-Comb,2001
Le mouton dans la baignoire,Classic,2002
Chiornie Debri Voini  The Black Abyss of War ,Jazz|Folk,1997
Hear My Train A Comin',Folk|Romance,1989
Runnin' Through The Jungle   Shootin' The Blues,Love|Solo|Rap-Comb|HeavyMetal,1996
On Independence Day,Classic,2009
Krause seine Kreuzpolka,Folk,2007
Susan Said,Solo|HeavyMetal,1997
I Stand Here Forgiven,Folk|Documentary,1997
Emergency  Album Version ,Jazz|Classic|Solo|Rap-Comb|HeavyMetal,1997
Como Nadie Te He Querido,Base|HeavyMetal,1997
English Dream  2002 Digital Remaster ,Love|Jazz|Classic,1997
Loving You Too Long,Classic|Romance,2006
No One Ever Cared For Me Like Jesus,Classic|HeavyMetal,1997
Tragedy in Blue,Classic|Romance|HeavyMetal,2004
Help Me,Classic|Romance,1997
Ain't No Sunshine,Classic,1997
Rowena,Classic,2009
Scandalon,Classic,1985
So Many Reasons,Love|Base|Classic|Bass|HeavyMetal,1997
Resolutions from The Long Day Closes,Love|Solo|Rap-Comb|HeavyMetal,1997
Care,Folk|Classic,2006
Scandalous  Soul and R&B ,Folk|Romance,1997
Romantic Rights  Jesper Dahlback Remix ,Folk|Romance,2004
Outro,Classic|Bass|Rap-Comb|HeavyMetal,1997
Around The World,Jazz|Classic,1997
Itsy Bitsy Spider,Folk|Solo,1997
Reginella,Base|Bass|HeavyMetal,2006
Trust In Him  Remastered Version ,Classic,1997
Visions Of Death,Love|Classic|Solo|HeavyMetal,1997
Autoroute,Jazz|Classic,1997
Street Crab,Solo,1994
All Or Nothing,Art|Hate|Folk,1995
Saved  LP Version ,Love|Classic|HeavyMetal,1997
Conscience  Album Version ,Folk,1997
Ojos Negros,Romance,2002
Phone Booth,Love|Folk,1983
La Coloreteada,Classic|Rap-Comb,1997
Fiddle Dee Dee   Original,Classic,1997
CorazA3n Contento,Folk|Romance,2004
Cold Stares Of Dead Eyes_ The,Love|Jazz|Folk,1997
Fish,Folk|Base|Classic,1998
Stranger,Folk|Classic|Rock|Romance,1997
Hate Of The Revolution,Classic,1997
Meet Me In The Bathroom,Classic|Romance,2003
Wait Til You See My Smile,Folk|Solo,2009
CHOKECHAIN  Amended Album Version ,Folk|Classic,2008
Don't Laugh,Art|Hate|Folk,1997
One Woman Man,Love|Classic,2001
Can You Hear The Angels,Documentary,1997
Pass The Puck,Rap-Comb|HeavyMetal,1997
La Photo,Folk|Classic,1999
No Me Acuerdo,Folk,1997
Die TA1 4r die zum GlA1 4ck fA1 4hrt,Solo|Bass|HeavyMetal,1997
In My Life,Folk|Classic|Romance,2009
Get A Straw,Folk|Classic|Romance,1997
Gotta Mind To Travel,Classic|Bass|HeavyMetal,1995
Rock Bottom   Shoot Shoot,Classic,1997
Club Tropicana,Classic,1997
Drop Sacrifice,Documentary,2007
This Is Why I'm Hot  The Original   Single Version   Edited ,Base|Classic|HeavyMetal,1997
I'll Be Your Light  Ian Nieman Remix ,Solo|Bass|HeavyMetal,1997
Minha Namorada,Classic,1965
Got To Let You Go,Classic|Bass,2001
Turn It Up,Love|Jazz|Hate|Folk,1997
Welcome 2 Detroit,Classic,2005
Incide,Jazz|Hate|Rock|IMAX,2006
Estate,Classic,1997
Head Butt Da Deck,Folk|Solo,2009
Whatever Lies Will Help You Rest,Love|Jazz|Folk|Base|HeavyMetal,2006
The Wild Ones  1996 Digital Remaster ,Folk|Classic|Romance,1997
Alovi,Classic,1999
Cuando Calienta El Sol,Love|Jazz|Classic|Bass|HeavyMetal,1997
Healing of All Nations,Classic|HeavyMetal,2001
Guarare,Jazz|Hate|Folk,1992
Joy In The Journey  The Final Word Album Version ,Love|Jazz|Classic|War,1997
Indiscreet,Hate|Folk,1997
Downstream,Documentary,1997
love shelter,Classic|Romance,2007
Bridge To Canada,Classic,2006
Watt's Cradle Song,Love|Classic|Romance,1997
Moss Garden  1999 Digital Remaster ,Love|Folk|Base|HeavyMetal,1977
Terry's Theme from Limelight,Love|Rock|Solo|HeavyMetal,1997
A Stepmother's Curse,Documentary,2000
La Excepcion,Folk|Musical,2006
Mile High and Risin',Documentary,2002
Deep Into The Day,Jazz|Hate|Rap-Comb,1997
Band Intro  Pila Song Intro,Solo|Rap-Comb,1997
Adnans,Classic|Romance,1999
Test Of The Terrarium,Documentary|War,1997
I Can't Break Away,Classic|Solo,1997
Southbound Blues,Folk|Rock|Romance,1997
Long Way Home,Classic,2006
It's You  Thinking of you ,Classic|Musical|Romance,1997
Tania,Folk|Romance,1995
In My Mind  Remix ,Rock,1997
Binaural Presentation   Process And Passion_ Pt  4,Base|Classic,1997
Nuttin' 2 Somethin',Folk,1997
Fen Shou Yao Hen,Base|Classic,1997
Piel Canela  Alternate Mix ,Folk|Classic|Romance,1997
Gone To The Movies,Musical,1998
VisAPSo,Folk|Classic|Romance,1997
Sin,Classic|Film,1989
Careless Talk,Folk|Romance,1997
Hello_ How Ya Been? Goodbye   LP Version ,Folk|Romance,1997
Spann's Boogie,Classic|Romance,1990
I'll Be Here in the Morning,Jazz|Classic,1997
Sin Ti,Classic,1997
Fly High Michelle,Folk|Classic|Romance,1989
Caja De Cerillas,Base|Classic|HeavyMetal,2000
The Arms That Won't Let Go  The Pillow Song  Great Is Thy Faithfulness,Classic|Romance,1997
Ronde Lune,Classic|Film,2006
Pottajenkka,Folk|Rock|Romance,1996
Locust Reign  Live in California ,Classic|Romance,2003
Intensity In Ten Cities,Folk|Classic,2008
Uniform  Scripka Mix ,Classic,1997
En La Soledad,Folk|Romance,1997
Windpower  2009 Digital Remaster ,Classic|Romance,1982
Anyway_ Anyhow_ Anywhere,Classic,1979
Ne Reste Que L'Amour  Only Love ,Classic|Film|HeavyMetal,1997
Verano traidor,Musical|Romance,1993
Let It Rain,Classic|Film|Bass,1997
Smile Jamaica,Love|Jazz|Classic|Romance,1992
Schwarzarbeit,Folk,2006
The Burden of Hope,Folk|Classic,1997
Catholic Knees  Album Version ,Folk|Musical|Romance|Western,2009
Seven  Album ,Love|Jazz|Romance,2006
Que Arribi L'Estiu,Base|Classic,2005
Intro 2  Kick Out The Jams  LP Version ,Classic|Musical,1969
Forgiveness  Love Life Album Version ,Classic,1991
Recept,Base|Classic|Bass|HeavyMetal,1997
M Town 2 M Town,Base|Documentary|War,1997
Cocotaso featuring Tony Touch,Folk|Romance,1997
Angel Band,Classic|War,1997
Grand mA re,Base|Classic,1999
The Sukkubus Lustrate,Classic,2008
See My Friends,Classic|War,1997
I'll Take A Melody,Classic,1997
Love That Jazz  Basements Boys Album Vers ,Classic,1997
The Attitude Song,Hate|Folk|Musical|Romance,1984
Ain't It Funny,Jazz|Classic|Romance,2001
Fire and Ice,Folk|Classic|War,2004
Jake,Solo|HeavyMetal,2006
Wish,Classic|Solo|War,2006
The Vine,Rap-Comb,1997
Idaho Red,Classic|War,2005
America the Beautiful,Art|Hate|Folk,1997
Standing On The Promises  Palmore   Beyond The Veil Album Version ,Jazz|War|Western,1997
Promised Land,Folk|Classic|Romance,1997
Baby I Need Your Loving,Classic|War,1999
Big Fella,Base|Classic,1997
The Yellow Rose Of Texas  From Giants ,Love|Jazz|Folk,1997
Tunnel Vision,Folk|Classic|War,2008
Me Falta El Aliento,Love|Base|Classic,1999
Fake Tales Of San Francisco,Love|Base|Classic,2004
First Kiss,Folk,1997
Bajo Un Palmar,Love|Base|Classic|HeavyMetal,1997
Stormy Weather,Documentary|Classic,1988
Les choses,Love|Jazz|Hate|Folk,1997
Zero M2,Love|Jazz|Folk|Base|HeavyMetal,2008
Un Tout Petit Pantin,Documentary|Musical,1997
Maria   From The Sound Of Music ,Hate|Folk,1997
Las Cadenas Live   2005 re mastering   Live ,Folk|Romance,1997
In My Arms,Base|Classic|HeavyMetal,2006
Celos,Love|Jazz|Folk|Classic|Romance|War,2004
Kopla ja kummisetA ?,Classic|Romance,1979
Esto Es Real,Love|Bass|HeavyMetal,1997
The Mist,Folk|Western,1983
Dawn,Rock|Western,1997
Dear Death Part 2,Jazz|Folk|Solo|Romance,1997
La paix des A c toiles,Base|Classic|HeavyMetal,2009
Gangster Of Love,Folk|Rap-Comb|HeavyMetal,1997
Pon De Floor,Solo|HeavyMetal,2009
Rubies_ Pearls_ And Emeralds,Classic|Romance,2002
Hammer & a Stone,Folk|Classic,2008
Sweet Disposition,Classic|Romance,2008
Dad Apologizes,Love|Base|Classic,2005
Rollercoasting,Classic,1994
Livin' Above Your Head,Love|Jazz,2002
Know Your Friends,Love|Base|Classic|HeavyMetal,1999
Valokeilojen vampyyri,Folk|Classic|Romance,1997
Perfect Motion,Classic,1992
BalansA c y lala  featuring Tanya St Val   feat  Tanya Saint Val ,Solo|HeavyMetal,1997
In The Sweet By And By,Classic|War,1997
Dash Way Belly,Rap-Comb|HeavyMetal,1997
Speed Of Sound  Live ,Documentary,2005
I'se Just A Bad Luck Man,Love|Folk|Base,1997
Destino Ingrato,Folk|HeavyMetal,1997
Container,Classic|Musical|Romance,2003
Un jour au Cirque: Two Blind Loves,Classic|Romance,1997
We Sleep Forever [Live],Love,1997
All American Boy,Love|Classic,1997
The One,Solo|Rap-Comb,2002
Karottensaft,Love|Folk,1997
Ruby Marlowe,Folk|Classic|Musical,1997
I Saw Three Ships,Folk|Solo|Romance,1997
Chim Chim Cheree,Jazz|Folk|Rap-Comb,1989
One More Chance,Classic|Bass,2009
Have Yourself A Merry Little Christmas  LP Version ,Love|Base|Classic,1997
Hey Daddy  Daddy's Home ,Classic|Rap-Comb,2010
Four,Folk|Documentary,1997
Stand Up and Praise Him,Jazz|Classic,1997
Willow Weep For Me  With Willie Nelson ,Rock|Solo|Rap-Comb|HeavyMetal,2002
Big Bottom,Classic,1984
Al Doilea Om,Love|Jazz|Hate|Base|Bass|HeavyMetal,2006
Govinda,Rock|Rap-Comb,1997
Hidden Documents,Solo|HeavyMetal,2010
Al Svartr  The Oath ,Documentary,1997
Real Love,Folk|Classic,2000
Flaming Red,Hate|Classic,1998
We Ride,Classic,2006
New Pin  edit ,Rock|Rap-Comb,2005
Pray  Instrumental Version ,Love|Folk|Base|HeavyMetal,1997
Tout moun sou do,Classic|Bass|Rap-Comb,1997
This Train,Folk,1997
Million Gal,Classic,1997
Love Is Just Around The Corner  1996 Digital Remaster ,Classic|Musical,1997
Mi Musica Es Para Ti   Original,Folk,1997
They Came To Boston,Classic,1992
My Jesus_ I Love Thee,Base|Classic|HeavyMetal,1997
Strangers In The Night,Base|Classic|Romance,1997
Two Heads One Pillow,Love|Jazz|Hate|Rock|Rap-Comb,2009
Nie Wieder  Live Version ,Love|Folk|Rap-Comb,2006
Sanctuary,Folk|Classic|Romance,1999
Saints & Sinners,Rock|Solo|Rap-Comb|HeavyMetal,1997
Pehle To Kabhi Gham Tha,Love|Rock|Solo|Romance,1997
World Of Vibrations  Album Version ,Base|Classic|HeavyMetal,2005
Mary's Boy Child,Love|Jazz|Classic|Bass|HeavyMetal,1997
Smile,Classic,1992
Guaguanco Raro,Folk|Solo|Rap-Comb,1970
God Rest Ye Merry Gentlemen,Musical,1997
The Tennessee Waltz,Art|Rock|Bass,1997
State of Emergency,Folk,2010
Contours,Jazz|Classic|Western,1997
Amhet,Jazz|Hate|Classic|Rock,1997
Aberdeen Blues,Folk,1997
Is It Love,Folk|Musical|Romance,1983
Ordinary Lives,Love|Classic|War,1997
Mr  Brightside  Jacques Lu Cont's Thin White Duke Mix ,Folk|Rock,2005
Group Sex,Classic|Rock|Solo|Bass|HeavyMetal,1980
Jezebel,Classic,1997
Breathe Me In,Classic,2008
Sugar Daddy,Love,1997
Said You'd Be,Folk|Base,2006
Precious Lord_ Take My Hand,Love|Art|Base|Classic|Film|Bass|Rap-Comb|HeavyMetal,1997
Livin' Lovin' Wreck,Base|Classic|HeavyMetal,1997
Flamingos,Documentary,1997
Little Silver Bells,Classic|Romance,1997
Under Attack,Classic|Solo,1997
Off The Record,Folk,1997
You Hit The Nail On The Head,Documentary,1997
Prequel To The Sequel  Album Version ,Folk,2007
Gosto de VocAa Demais,Love|Base|HeavyMetal,1997
Drifting Away,Folk|Rock|Romance,1996
Rock The Night,Art|Classic,2008
Fried Neckbones And Home Fries,Folk|Classic|Romance,1997
 I'm So  Afraid Of Losing You Again,Jazz|Classic|Western,1970
Duck And Run,Base|Classic|Bass|Romance|HeavyMetal,1999
The Heavenly Place,Love|Rock|Rap-Comb|HeavyMetal|War,1997
Likambo,Love|Folk|Romance,2001
Please Baby Blues,Jazz|Folk|Rock|Romance,1997
Cry Of The Earth,Classic,1998
I Versus I,Folk,2007
A Crow Left Of The Murder,Classic|Musical,2004
Moisture,Classic|Romance|HeavyMetal|War,1995
Shitzzo,Love|Jazz|Hate|Folk,1997
Stack and Pile,Classic|Romance,1997
I Still Haven't Found What I'm Looking For,Documentary,2003
Dark Flashes,Classic,1997
Ek Pardesi DiA ,Classic,1997
Ice Cream Cone,Love|Rap-Comb,2001
Wonderland,Love|Hate|Folk,2001
Goody Two Shoes,Folk|Classic,1982
Telecommunication,Love|Folk|Base|Classic,1997
Borin Fuckin Town,Jazz|Classic|Rock|Solo|Rap-Comb,1997
Olive Oil,Love|Base|Solo,1987
St  Patrick's Day,Folk|Rap-Comb,1997
Assis par terre,Love|Classic,2010
Agrippina : Act 3  Bel piacere A  godere fido amor!  [Poppea],Folk,1997
Llamado De Emergencia,Folk|Romance,2008
He'll Deliver Me,Base|Film|Bass|HeavyMetal,1997
Don't Go Breaking My Heart  LP Version ,Classic|Rock|Solo|Bass|Rap-Comb|HeavyMetal,1997
Million Miles,Folk|Classic,2009
She's On That Revivalism,Jazz|Western,1997
I Don't Want To Let You Go,Art|Classic|Romance,2009
Aff E'chad  Nobody   Live ,Love|Art,1997
At The Movies  1991 Digital Remaster ,Folk|Classic|Romance,1983
Check It  Explicit ,Folk,1993
Into The Mouth Of Hell We March [Explicit],Base|HeavyMetal,2008
Sweet Love,Romance,1997
Black Market Hell,Classic|HeavyMetal,2009
A Word From Deacon Jones [A Local Cable Access Ministry]  LP Version ,Classic,1997
Rainbow Jungle  Dub   Instrumental Reggae Music ,Love|Rap-Comb,1997
Wind Beneath My Wings,Jazz|Hate|Musical|Romance,2007
Salva Mea,Love|Documentary|Classic|HeavyMetal,1995
Tu Robaste Mi Corazon,Love|Solo|Rap-Comb,1997
Declaration of Independence,Classic,1997
Reborn  Explicit ,Folk|Base|Solo,2007
Vad tvAY= APron klarar,Classic|Romance,1997
El Gran SeA+ or,Love|Base|HeavyMetal,1997
En AlgAon RincA3n,Love|Jazz|Folk|Rap-Comb|HeavyMetal,1999
The Way I Am,Love|Jazz|Classic|Rock|Romance,2000
The Air Force song : Evening colors sequence,Rap-Comb,1997
Revolver [Tracy Young's Shoot To Kill Remix],Rock|Western,1997
Hey Joe,Classic|HeavyMetal,1974
Nino ven pa'ca,Love|Base|Rock,1997
NA1 4t isch fA1 4r immer,Solo,1997
They Ride By Night,Love|Jazz|Hate|Rock|Rap-Comb,1997
Abscondence,Love|Art|Classic|Rock|Rap-Comb,2001
Dialogue et final si j'avais su,Documentary,1997
Make The World Go Away,Folk|Romance,1989
Sirius Calling,Jazz|Hate|Rock,2004
Fungus,Love|Folk,1997
Plecaciunea mortii,Classic|Romance,1997
Don't Keep Me Wondering,Jazz|Folk|Rock,1997
Ace Insurance Man,Classic,1968
Ellen Disingenuous,Classic|Rock|Romance|Rap-Comb,1997
Ballin' the Jack,Folk|Classic,1997
Oedipus Rex_ Atto Primo: Liberi_ Vos Liberabo  Oedipus   Stravinsky ,Love|Art|Base|Rap-Comb|HeavyMetal,1997
IA'm Throwing Rice,Classic|Solo|Bass|Romance|HeavyMetal,1997
Me Decidi,Folk|Classic|Rock,1997
'Round the Wheel,Love|Folk|Base|Rock|HeavyMetal,2001
Strassenkrieg,Documentary,1997
Monkey Junction,Jazz|Folk|Rock,2001
In Pursuit of the Implicate Order of Cultural Chaos,Art|Folk,1997
I Love Me  I'm Wild About Myself   2005 Digital Remaster ,Folk,1997
Dedicated,Classic,1989
Got To Make Me Love You,Base|Classic|Bass|HeavyMetal|War,1997
Pathfinders,Classic|HeavyMetal,2004
The Deep Blue Sea,Folk|Classic|Romance,1997
Shrivasta,Folk|Classic|Romance|Rap-Comb,1997
City Of Screaming Statues,Love|Folk|HeavyMetal,1991
Hey Louise,Solo|Bass,1980
Punk Rocker '97,Love|Art|Solo,1997
Three Little Words,Jazz|Western,1997
Old Gobbler the Hound Dog,Folk|Base|Solo|Bass|HeavyMetal,1997
My Heart's Desire,Folk,2004
Flipside,Love|Base|HeavyMetal,1997
Quand on est amoureux,Solo|Bass|Rap-Comb,1964
Hard Times,Solo|Bass|HeavyMetal,2003
Superconstellation,Classic,1997
Another World  Album Version ,Folk|Romance,1977
I Like Young Girls,Folk|Rock|Bass|Rap-Comb,1993
Softcore,Folk|Romance,2003
Ragoo,Folk|Base|Classic|Rap-Comb|HeavyMetal,2007
Tears Falling Down,Folk,1988
Drop The Hammer,Folk|Solo|Musical,1995
The Poet And The Pendulum,Folk|Solo|Bass|HeavyMetal,2007
Olivia,Base|Classic,1999
Expeditions,Love|Folk|Solo|Musical,1997
Firehouse Rock,Solo|Bass|HeavyMetal,1980
Dengoso,Classic|Rap-Comb|War,1997
One King  Album Version ,Love|Jazz|Classic|Rap-Comb|HeavyMetal,1997
Silent Partner  Peace Out ,Jazz|Hate|Folk,2003
Like A Hurricane,Classic|Romance,1997
Un nuevo amor  version salsa ,Folk|Classic|Romance,2000
Time Travel,Love|Art|Classic|Rap-Comb,2002
Hit my heart,Classic,1997
Revitalise,Solo,2009
She Will Love You  Album Version ,Folk|Base|Classic|Bass|HeavyMetal,2007
Why Wouldn't I  featuring Fabolous & Paul Cain ,Love|Folk|Solo|Rap-Comb|HeavyMetal|Western,1997
Ghosts_ Second Variation,Folk,1997
What Is This,Love|Base|HeavyMetal,1997
The Christmas Song  Chestnuts Roasting On An Open Fire ,Love|Folk|Classic|War,1997
Menutha,Love|Folk|Classic,1999
Hum Drum,Love|Classic|HeavyMetal|War,2004
